,user,createdAt,reportsResolved,nThanks,has_givenName,has_location,has_website,has_bio,has_bugcrowdHandle,has_githubHandle,has_gitlabHandle,has_linkedinHandle,has_twitterHandle,yearJoined,hasExternalLink,nhacks,ndisclosedhacks,country
1031,1031,2017-01-24T22:40:00.483Z,70,21,1,0,1,1,0,0,0,1,1,2017,1,58,0,
1032,1032,2015-03-17T08:13:20.650Z,32,11,1,0,1,0,0,0,0,0,0,2015,1,16,0,
1033,1033,2018-03-12T03:40:33.531Z,4,1,0,0,0,0,0,0,0,0,0,2018,0,4,0,
1034,1034,2017-06-05T03:24:41.657Z,5,2,0,0,0,0,0,0,0,0,0,2017,0,5,0,
1035,1035,2016-08-12T21:35:47.159Z,2,2,1,0,0,0,0,0,0,0,0,2016,0,1,0,
1036,1036,2017-05-06T13:43:47.955Z,1,1,1,0,0,0,0,0,0,0,0,2017,0,1,0,
1037,1037,2017-12-25T16:03:43.624Z,9,3,1,1,0,1,0,0,0,0,0,2017,0,9,7,
1038,1038,2017-07-15T07:21:18.508Z,2,4,1,0,0,0,0,0,0,0,0,2017,0,5,4,
1039,1039,2020-09-20T09:52:56.555Z,1,2,1,1,1,1,0,1,0,1,1,2020,1,1,1,Russia
1040,1040,2017-09-17T12:56:49.486Z,1,1,1,0,0,0,0,0,0,0,0,2017,0,1,0,
1041,1041,2020-03-25T19:05:35.848Z,1,1,1,0,0,0,0,0,0,0,1,2020,1,1,0,
1042,1042,2014-10-16T22:43:02.222Z,1,0,1,1,1,1,0,0,0,1,1,2014,1,3,1,United States
1043,1043,2019-02-23T06:04:23.284Z,28,8,1,0,0,0,0,1,0,1,1,2019,1,9,4,
1044,1044,2016-09-26T06:05:42.909Z,17,3,1,1,0,1,0,0,0,0,0,2016,0,4,0,India
1045,1045,2021-07-09T04:39:29.094Z,1,1,1,0,0,0,0,0,0,0,0,2021,0,1,0,
1046,1046,2015-12-12T18:56:13.155Z,2,2,0,0,0,0,0,0,0,0,0,2015,0,2,0,
1047,1047,2018-01-28T15:17:17.750Z,18,6,1,1,0,0,0,1,0,1,1,2018,1,7,0,India
1048,1048,2014-06-20T17:05:36.248Z,2,1,1,0,0,0,0,0,0,0,0,2014,0,2,2,
1049,1049,2017-04-20T20:46:00.545Z,0,0,1,1,1,1,0,1,0,0,1,2017,1,2,2,United States
1050,1050,2016-12-29T18:29:57.779Z,27,7,1,0,0,0,0,0,0,0,0,2016,0,9,0,
1051,1051,2018-02-24T08:32:09.027Z,12,6,1,1,0,1,0,1,0,0,0,2018,1,7,0,India
1052,1052,2014-02-17T15:26:25.430Z,3,3,1,0,0,0,0,0,0,0,0,2014,0,3,1,
1053,1053,2020-12-01T16:54:24.725Z,2,1,1,0,0,0,0,0,0,0,0,2020,0,2,1,
1054,1054,2020-07-11T18:32:49.946Z,3,4,1,1,0,0,0,0,0,1,0,2020,1,3,0,Bulgaria
1055,1055,2017-01-01T11:20:28.322Z,1,1,1,0,0,0,0,0,0,0,0,2017,0,1,0,
1056,1056,2020-10-01T20:49:26.441Z,4,1,1,0,0,0,0,0,0,0,0,2020,0,3,0,
1057,1057,2019-06-28T13:52:34.666Z,26,6,1,1,0,0,0,0,0,0,0,2019,0,9,0,Greece
1058,1058,2016-05-19T14:33:52.410Z,2,2,1,1,1,0,0,0,0,0,0,2016,1,2,2,Russia
1059,1059,2015-10-17T13:03:02.319Z,1,1,1,0,1,1,0,0,0,0,0,2015,1,1,1,
1060,1060,2018-12-22T08:06:46.274Z,12,9,1,0,0,0,0,0,0,0,0,2018,0,8,1,
1061,1061,2016-12-11T20:33:51.397Z,16,8,1,1,0,1,0,0,0,0,0,2016,0,10,1,
1062,1062,2021-03-13T17:39:57.070Z,3,2,1,0,0,0,0,0,0,1,1,2021,1,2,0,
1063,1063,2016-09-16T16:02:15.185Z,2,3,1,1,0,1,0,1,0,0,0,2016,1,2,1,Germany
1064,1064,2016-11-14T16:14:35.173Z,3,2,1,1,1,0,0,1,0,1,1,2016,1,3,0,Poland
1065,1065,2021-02-27T18:37:53.887Z,1,2,0,0,0,0,0,0,0,0,0,2021,0,1,0,
1066,1066,2017-07-23T12:36:25.782Z,6,2,1,0,0,0,0,0,0,0,0,2017,0,6,0,
1067,1067,2017-10-17T14:35:01.916Z,1,1,1,0,0,0,0,0,0,0,0,2017,0,1,0,
1068,1068,2021-09-06T08:53:10.066Z,1,1,1,0,0,0,0,0,0,0,0,2021,0,1,0,
1069,1069,2019-04-02T03:42:00.812Z,6,2,1,1,0,1,0,1,1,0,1,2019,1,4,1,Colombia
1070,1070,2017-08-08T14:05:12.218Z,6,2,1,0,0,0,0,0,0,0,0,2017,0,4,0,
1071,1071,2020-01-04T05:41:37.079Z,0,1,1,0,0,0,0,0,0,0,0,2020,0,1,0,
1072,1072,2016-05-10T23:05:05.351Z,0,1,1,0,0,0,0,0,0,0,0,2016,0,1,0,
1073,1073,2017-01-17T13:40:51.609Z,1,1,1,1,1,0,0,1,0,1,0,2017,1,1,0,Poland
1074,1074,2016-08-16T18:39:38.446Z,1,1,1,1,1,0,0,0,0,0,0,2016,1,1,1,Italy
1075,1075,2019-08-12T08:29:57.689Z,2,3,1,0,0,0,0,0,0,0,0,2019,0,2,0,
1076,1076,2016-04-01T11:49:26.341Z,4,3,1,0,0,0,0,0,0,0,0,2016,0,3,2,
1077,1077,2014-09-12T17:42:34.396Z,126,30,1,0,0,1,0,0,0,0,1,2014,1,88,6,
1078,1078,2016-03-29T17:19:58.244Z,3,1,1,0,0,0,0,0,0,0,0,2016,0,1,0,
1079,1079,2016-08-01T10:20:38.401Z,5,2,1,1,0,0,0,0,0,0,0,2016,0,5,0,Romania
1080,1080,2018-01-09T23:45:16.253Z,0,0,1,0,0,0,0,0,0,0,0,2018,0,1,0,
